"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/natanaelmarian/Desktop/VSC/hotel/client/dashboard/debug.html", "HTML", 25, 0, 0, 0, 4, 29
"/Users/natanaelmarian/Desktop/VSC/hotel/client/dashboard/index.html", "HTML", 367, 0, 0, 0, 7, 374
"/Users/natanaelmarian/Desktop/VSC/hotel/client/dashboard/script.js", "JavaScript", 0, 0, 187, 2, 26, 215
"/Users/natanaelmarian/Desktop/VSC/hotel/client/dashboard/styles.css", "CSS", 0, 121, 0, 0, 9, 130
"/Users/natanaelmarian/Desktop/VSC/hotel/client/img/Hotel Restaurant Online Ordering System.html", "HTML", 54, 0, 0, 2, 5, 61
"/Users/natanaelmarian/Desktop/VSC/hotel/client/index.html", "HTML", 26, 0, 0, 0, 4, 30
"/Users/natanaelmarian/Desktop/VSC/hotel/client/orders/debug.js", "JavaScript", 0, 0, 385, 1, 5, 391
"/Users/natanaelmarian/Desktop/VSC/hotel/client/orders/index.html", "HTML", 23, 0, 0, 0, 2, 25
"/Users/natanaelmarian/Desktop/VSC/hotel/client/orders/script.js", "JavaScript", 0, 0, 344, 0, 11, 355
"/Users/natanaelmarian/Desktop/VSC/hotel/client/orders/style.css", "CSS", 0, 51, 0, 1, 8, 60
"/Users/natanaelmarian/Desktop/VSC/hotel/client/orders/useful.js", "JavaScript", 0, 0, 55, 0, 2, 57
"/Users/natanaelmarian/Desktop/VSC/hotel/client/problem.html", "HTML", 60, 0, 0, 0, 4, 64
"/Users/natanaelmarian/Desktop/VSC/hotel/client/script.js", "JavaScript", 0, 0, 268, 88, 37, 393
"/Users/natanaelmarian/Desktop/VSC/hotel/client/styles.css", "CSS", 0, 230, 0, 1, 20, 251
"/Users/natanaelmarian/Desktop/VSC/hotel/client/thank-you.html", "HTML", 58, 0, 0, 0, 5, 63
"Total", "-", 613, 402, 1239, 95, 149, 2498